,id,Danceability
0,17170.0,0.0
1,17171.0,8.0
2,17172.0,7.0
3,17173.0,8.0
4,17174.0,3.0
5,17175.0,6.0
6,17176.0,1.0
7,17177.0,0.0
8,17178.0,1.0
9,17179.0,3.0
10,17180.0,8.0
11,17181.0,7.0
12,17182.0,7.0
13,17183.0,8.0
14,17184.0,6.0
15,17185.0,7.0
16,17186.0,8.0
17,17187.0,1.0
18,17188.0,6.0
19,17189.0,1.0
20,17190.0,9.0
21,17191.0,9.0
22,17192.0,9.0
23,17193.0,9.0
24,17194.0,9.0
25,17195.0,9.0
26,17196.0,9.0
27,17197.0,9.0
28,17198.0,9.0
29,17199.0,2.0
30,17200.0,1.0
31,17201.0,1.0
32,17202.0,2.0
33,17203.0,0.0
34,17204.0,6.0
35,17205.0,6.0
36,17206.0,7.0
37,17207.0,0.0
38,17208.0,1.0
39,17209.0,7.0
40,17210.0,7.0
41,17211.0,7.0
42,17212.0,0.0
43,17213.0,7.0
44,17214.0,7.0
45,17215.0,8.0
46,17216.0,7.0
47,17217.0,9.0
48,17218.0,6.0
49,17219.0,0.0
50,17220.0,7.0
51,17221.0,0.0
52,17222.0,0.0
53,17223.0,5.0
54,17224.0,1.0
55,17225.0,1.0
56,17226.0,8.0
57,17227.0,8.0
58,17228.0,7.0
59,17229.0,2.0
60,17230.0,3.0
61,17231.0,1.0
62,17232.0,6.0
63,17233.0,0.0
64,17234.0,0.0
65,17235.0,8.0
66,17236.0,4.0
67,17237.0,0.0
68,17238.0,0.0
69,17239.0,6.0
70,17240.0,0.0
71,17241.0,9.0
72,17242.0,0.0
73,17243.0,8.0
74,17244.0,1.0
75,17245.0,7.0
76,17246.0,6.0
77,17247.0,9.0
78,17248.0,2.0
79,17249.0,3.0
80,17250.0,2.0
81,17251.0,2.0
82,17252.0,7.0
83,17253.0,3.0
84,17254.0,7.0
85,17255.0,1.0
86,17256.0,9.0
87,17257.0,9.0
88,17258.0,7.0
89,17259.0,1.0
90,17260.0,6.0
91,17261.0,7.0
92,17262.0,8.0
93,17263.0,9.0
94,17264.0,0.0
95,17265.0,7.0
96,17266.0,1.0
97,17267.0,6.0
98,17268.0,7.0
99,17269.0,8.0
100,17270.0,7.0
101,17271.0,7.0
102,17272.0,6.0
103,17273.0,8.0
104,17274.0,8.0
105,17275.0,6.0
106,17276.0,9.0
107,17277.0,6.0
108,17278.0,0.0
109,17279.0,1.0
110,17280.0,2.0
111,17281.0,9.0
112,17282.0,2.0
113,17283.0,9.0
114,17284.0,7.0
115,17285.0,7.0
116,17286.0,5.0
117,17287.0,0.0
118,17288.0,9.0
119,17289.0,7.0
120,17290.0,9.0
121,17291.0,1.0
122,17292.0,7.0
123,17293.0,6.0
124,17294.0,7.0
125,17295.0,7.0
126,17296.0,1.0
127,17297.0,6.0
128,17298.0,6.0
129,17299.0,3.0
130,17300.0,9.0
131,17301.0,7.0
132,17302.0,8.0
133,17303.0,0.0
134,17304.0,6.0
135,17305.0,5.0
136,17306.0,6.0
137,17307.0,7.0
138,17308.0,0.0
139,17309.0,9.0
140,17310.0,6.0
141,17311.0,6.0
142,17312.0,1.0
143,17313.0,7.0
144,17314.0,7.0
145,17315.0,9.0
146,17316.0,6.0
147,17317.0,8.0
148,17318.0,2.0
149,17319.0,5.0
150,17320.0,8.0
151,17321.0,2.0
152,17322.0,7.0
153,17323.0,1.0
154,17324.0,1.0
155,17325.0,8.0
156,17326.0,9.0
157,17327.0,6.0
158,17328.0,1.0
159,17329.0,3.0
160,17330.0,6.0
161,17331.0,6.0
162,17332.0,6.0
163,17333.0,7.0
164,17334.0,6.0
165,17335.0,6.0
166,17336.0,7.0
167,17337.0,7.0
168,17338.0,8.0
169,17339.0,8.0
170,17340.0,9.0
171,17341.0,8.0
172,17342.0,0.0
173,17343.0,0.0
174,17344.0,0.0
175,17345.0,0.0
176,17346.0,7.0
177,17347.0,9.0
178,17348.0,9.0
179,17349.0,6.0
180,17350.0,8.0
181,17351.0,8.0
182,17352.0,6.0
183,17353.0,6.0
184,17354.0,3.0
185,17355.0,6.0
186,17356.0,8.0
187,17357.0,7.0
188,17358.0,6.0
189,17359.0,9.0
190,17360.0,8.0
191,17361.0,9.0
192,17362.0,7.0
193,17363.0,6.0
194,17364.0,7.0
195,17365.0,8.0
196,17366.0,7.0
197,17367.0,9.0
198,17368.0,6.0
199,17369.0,9.0
200,17370.0,9.0
201,17371.0,6.0
202,17372.0,1.0
203,17373.0,3.0
204,17374.0,6.0
205,17375.0,8.0
206,17376.0,6.0
207,17377.0,0.0
208,17378.0,0.0
209,17379.0,6.0
210,17380.0,9.0
211,17381.0,7.0
212,17382.0,6.0
213,17383.0,9.0
214,17384.0,9.0
215,17385.0,5.0
216,17386.0,8.0
217,17387.0,9.0
218,17388.0,8.0
219,17389.0,8.0
220,17390.0,8.0
221,17391.0,7.0
